team,payroll
NYM,352200000
LAD,316600000
NYY,297200000
PHI,282000000
TOR,269000000
ATL,252200000
HOU,244300000
CHC,222800000
SDP,208300000
DET,206700000
SFG,195600000
BOS,194500000
ARI,185500000
TEX,180200000
LAA,177600000
BAL,161200000
SEA,160500000
KCR,142800000
MIL,124100000
CIN,122600000
COL,116700000
STL,100400000
PIT,99900000
MIN,96500000
OAK,89800000
TBR,88700000
WSN,83900000
CHW,82100000
MIA,76200000
CLE,62300000
